gene	count	unique_CDR3	unique_D	unique_J
IGHV1-18*04	2412	426	26	7
IGHV1-2*02	4027	590	30	7
IGHV1-24*01	503	71	16	5
IGHV1-3*01	636	80	19	4
IGHV1-46*01	2002	295	26	6
IGHV1-58*01	349	54	11	5
IGHV1-69*01	3106	552	33	7
IGHV1-69*06	2040	336	29	7
IGHV1-69*12	3166	510	29	7
IGHV1-69-2*01	106	15	4	3
IGHV1-8*01	1982	298	27	4
IGHV2-26*01	874	194	24	7
IGHV2-5*02	2165	389	29	6
IGHV3-11*01	1659	219	23	6
IGHV3-11*06	1430	205	27	7
IGHV3-15*01	2790	378	27	7
IGHV3-21*01	6662	922	32	7
IGHV3-23*01	16079	2022	36	7
IGHV3-30*02_S4989	2075	280	30	7
IGHV3-30*04	3267	460	30	7
IGHV3-30*18	3817	465	34	7
IGHV3-30-3*01	2549	277	26	6
IGHV3-33*01	4008	477	31	7
IGHV3-43*01	497	66	16	7
IGHV3-43D*03	224	30	10	3
IGHV3-48*02	1313	174	25	5
IGHV3-48*04	1537	211	21	7
IGHV3-49*03	1399	204	20	6
IGHV3-53*01	582	83	15	5
IGHV3-53*04	317	44	6	4
IGHV3-64D*06	906	124	24	6
IGHV3-66*01	1723	191	26	7
IGHV3-7*01	1977	246	27	7
IGHV3-7*03	1200	153	20	6
IGHV3-73*01	1300	136	17	6
IGHV3-74*01	927	120	22	7
IGHV3-9*01	5583	642	28	6
IGHV4-30-2*01	1608	193	26	7
IGHV4-30-4*01	625	78	13	5
IGHV4-30-4*07	405	53	13	6
IGHV4-31*03	2545	370	25	7
IGHV4-34*01	9534	1467	35	7
IGHV4-38-2*02	1965	278	29	6
IGHV4-39*01	3165	488	28	7
IGHV4-39*07	8305	1292	36	6
IGHV4-4*02	894	142	21	6
IGHV4-4*07	788	102	19	5
IGHV4-59*01	4066	668	31	7
IGHV4-59*08	1459	217	22	6
IGHV4-61*01	323	34	10	4
IGHV5-10-1*03	1587	254	23	5
IGHV5-51*01	5769	773	32	7
IGHV6-1*01	855	102	18	6
